Std,Lat,Lon,Ele,Year,Month,Day,Mean,Max,Min,MeanQC,MaxQC,MinQC,Albedo,AT,SSM,UW,VW,LST,NDVI,DOY
56004,3413,9226,45331,2019,1,1,-150,-68,-210,9,9,9,0.40849801898000004,258.43484497099996,0.5460678339,1.9073476791400001,0.7801417708399999,27662.0,0.117899999022,1
56004,3413,9226,45331,2019,1,2,-172,-63,-267,9,9,9,0.386530935764,257.508392334,0.546065092087,-1.4205361604700002,1.36931729317,27381.0,0.117899999022,2
56004,3413,9226,45331,2019,1,3,-137,-78,-217,9,9,9,0.37812197208400006,259.516235352,0.546092152596,-0.224443778396,1.8536649942400003,27447.0,0.117899999022,3
56004,3413,9226,45331,2019,1,4,-162,-110,-189,9,9,9,0.408880680799,256.948730469,0.546090245247,5.67542362213,-1.5988923311200003,27380.0,0.117899999022,4
56004,3413,9226,45331,2019,1,5,-160,-37,-248,9,9,9,0.392503976822,263.51910400400004,0.546077132225,3.02124786377,2.97393655777,27395.0,0.117899999022,5
56004,3413,9226,45331,2019,1,6,-136,-46,-194,9,9,9,0.414325267076,264.40890502900004,0.546054661274,6.693982124330001,3.9984045028699993,27149.0,0.117899999022,6
56004,3413,9226,45331,2019,1,7,-140,-66,-210,9,9,9,0.418909519911,263.074981689,0.546043694019,6.354554653169999,5.2713432312,27400.0,0.117899999022,7
56004,3413,9226,45331,2019,1,8,-135,-74,-213,9,9,9,0.42590746283500003,260.755737305,0.5460385680200001,5.026763439180001,2.48433995247,27335.0,0.117899999022,8
56004,3413,9226,45331,2019,1,9,-162,-91,-232,9,9,9,0.41253688931500004,257.54855346700003,0.546033918858,-1.09330511093,0.840596079826,27444.0,0.117899999022,9
56004,3413,9226,45331,2019,1,10,-183,-118,-226,9,9,9,0.47288897633599997,258.413665771,0.546038091183,4.6169729232800005,0.7597293257709999,27298.0,0.117899999022,10
56004,3413,9226,45331,2019,1,11,-184,-102,-281,9,9,9,0.450636506081,258.42337036099997,0.546028792858,-0.0412951856852,2.3392906189,27409.0,0.117899999022,11
56004,3413,9226,45331,2019,1,12,-158,-59,-227,9,9,9,0.44478535652199996,262.312194824,0.546015441418,4.3274269104,2.50211048126,27355.0,0.117899999022,12
56004,3413,9226,45331,2019,1,13,-151,-76,-224,9,9,9,0.444911658764,261.45657348599997,0.546017169952,3.9891905784599997,1.9530360698700002,27253.0,0.117899999022,13
56004,3413,9226,45331,2019,1,14,-155,-97,-216,9,9,9,0.499780327082,260.84597778299997,0.546008646488,6.2411532402,0.298352092505,27333.0,0.117899999022,14
56004,3413,9226,45331,2019,1,15,-188,-102,-256,9,9,9,0.47341540455799996,254.960403442,0.545999407768,5.09323215485,1.4050877094299998,27308.0,0.117899999022,15
56004,3413,9226,45331,2019,1,16,-168,-35,-265,9,9,9,0.452073395252,260.352844238,0.545999407768,3.16587138176,0.638683974743,27332.0,0.117899999022,16
